institution,course_name,url,year,module_name,credits,type,bucket_1,bucket_2
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Criminal Punishment - Policies and Practice,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Emerging Crimes and Criminal Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Employment Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Environmental Law and Sustainability,,,Law,Environment & Sustainability
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Family Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Housing Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Immigrants and Nativists,,,"Gender, Identity & Society",
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Jurisprudence,,,Law,Political Theory & Philosophy
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Law and Deal-Making in the Entertainment Industry,,,Law,"Media, Communication & Culture"
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Law of Immigration and Asylum,,,Law,Human Rights & Humanitarianism
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Legal Research Methods,,,Law,Research Methods & Dissertation
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Medical Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Politics of the Middle East,,,Regional & Area Studies,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Public International Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Sustainability and Environmental Justice,,,Environment & Sustainability,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,The Law of Criminal Evidence,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,The Politics of the European Union,,,Regional & Area Studies,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 2,Theories of International Relations: Discipline and Diversity,,,IR Theory & Global Order,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Civil Law and Practice,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Criminal Litigation,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Law of Equity and Trusts II,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Law of the European Union II,,,Law,Regional & Area Studies
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,International Security Studies: Issues and Challenges,,,Security & Conflict,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,International Security Studies: Theories and Challenges,,,Security & Conflict,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Action and Identity: Gender and Political Participation,,,"Gender, Identity & Society",
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Advocacy and Mooting,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Alternative Dispute Resolution,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Child Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Civil Liberties and Human Rights,,,Human Rights & Humanitarianism,Law
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Company Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Competition Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Concise Legal Dissertation,,,Law,Research Methods & Dissertation
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Conflict Resolution: Building Sustainable Peace,,,Security & Conflict,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Conflict Resolution: Concepts and Strategies,,,Security & Conflict,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Consumer Rights Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Emerging Crimes and Criminal Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Employment and Equality Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Environmental Law and Sustainability,,,Law,Environment & Sustainability
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Family Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Housing Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,International Trade Law,,,Law,International Political Economy
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Jurisprudence,,,Law,Political Theory & Philosophy
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Law Dissertation,,,Law,Research Methods & Dissertation
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Law and Deal-Making in the Entertainment Industry,,,Law,"Media, Communication & Culture"
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Law of Immigration and Asylum,,,Law,Human Rights & Humanitarianism
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Medical Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Penal Policy,,,Comparative & British Politics,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Public Diplomacy and Global Influence,,,Diplomacy & Foreign Policy,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Public International Law,,,Law,
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,Strategic Communications and Global Media,,,"Media, Communication & Culture",
London Met,LLB (hons) law with international relations,http://www.londonmet.ac.uk/courses/undergraduate/law-with-international-relations---llb-hons/,Year 3,The Law of Criminal Evidence,,,Law,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 1,"Researching International Relations and Politics (Core,",20,core,Research Methods & Dissertation,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 1,Skills for Academic Success in a UK University (Core,0,core,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 1,"Researching International Relations and Politics (Core,",20,core,Research Methods & Dissertation,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 1,Skills for Academic Success in a UK University (Core,0,core,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"Social Sciences Study Abroad (60 credit) (Optional,",60,,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"From Bastille to Strasbourg- A Journey through Human Rights (Optional,",20,optional,Human Rights & Humanitarianism,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"Government in Action: Inside the Civil Service (Core,",20,optional,Comparative & British Politics,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,Skills for Academic Success in a UK University (Core,0,optional,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"Social Sciences Study Abroad (60 credit) (Optional,",60,,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"From Bastille to Strasbourg- A Journey through Human Rights (Optional,",20,optional,Human Rights & Humanitarianism,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,"Government in Action: Inside the Civil Service (Core,",20,optional,Comparative & British Politics,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 2,Skills for Academic Success in a UK University (Core,0,optional,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 4,"War Games- Negotiating Security through Simulations (Optional,",20,optional,Security & Conflict,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 4,Skills for Academic Success in a UK University (Core,0,optional,"Skills, Placement & Employability",
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 4,"War Games- Negotiating Security through Simulations (Optional,",20,optional,Security & Conflict,
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,Year 4,Skills for Academic Success in a UK University (Core,0,optional,"Skills, Placement & Employability",
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4001 Democracy and Democratization,20,core,Comparative & British Politics,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4002 Discovering World Politics,20,core,IR Theory & Global Order,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4004 Comparative Democracies,20,core,Comparative & British Politics,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4005 International Relations Since 1945,20,core,IR Theory & Global Order,Sociology & History
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4006 One Planet? Society and Sustainability,20,core,Environment & Sustainability,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 1,PIR4007 Theories of International Relations,20,core,IR Theory & Global Order,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5002 Global Governance and the United Nations,20,core,IR Theory & Global Order,Diplomacy & Foreign Policy
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5007 Global Political Economy,20,core,International Political Economy,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5008 International Security Studies,20,core,Security & Conflict,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5009MX Refugee Studies,20,optional,Human Rights & Humanitarianism,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6000 Dissertation in Politics and International Relations,40,core,Research Methods & Dissertation,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6001 Work Based Learning in Politics or International Relations,20,optional,"Skills, Placement & Employability",
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6002 NATO after the Cold War and Beyond,20,optional,Security & Conflict,Diplomacy & Foreign Policy
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6006 The Politics of the United States,20,optional,Regional & Area Studies,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6010 The Politics and International Relations of the Middle East,20,optional,Regional & Area Studies,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,ANT6008MX Coastal Cultures,20,optional,Sociology & History,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,"ENG5010MX Writing Creative Nonfiction: Autobiography, Travel Writing, Reportage",20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,ENG6008MX Features Journalism Workshop,20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,ENG6005MX American Crime Writing,20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,HIS5014MX Dunkirk to D Day: The Second World War in Europe,20,optional,Sociology & History,Security & Conflict
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,"HIS6002MX Piracy and Privateering, c.1560-1816",20,optional,Sociology & History,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,CRM6011MX Security Management,20,optional,Security & Conflict,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,SOC5005MX Globalisation and Social Justice,20,optional,Sociology & History,International Political Economy
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,"SOC6004MX Health, Medical Power and Social Justice",20,optional,Sociology & History,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,CRM6011MX Security Management,20,optional,Security & Conflict,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5013MX Politics Beyond Parliaments,20,optional,Comparative & British Politics,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR6008MX Voter Behaviour and Effective Election Campaigning,20,optional,Comparative & British Politics,
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,Year 2,PIR5009MX Refugee Studies,20,optional,Human Rights & Humanitarianism,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4001 Democracy and Democratization,20,core,Comparative & British Politics,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4002 Discovering World Politics,20,core,IR Theory & Global Order,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4004 Comparative Democracies,20,core,Comparative & British Politics,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4005 International Relations Since 1945,20,core,IR Theory & Global Order,Sociology & History
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4006 One Planet? Society and Sustainability,20,core,Environment & Sustainability,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 1,PIR4007 Theories of International Relations,20,core,IR Theory & Global Order,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5002 Global Governance and the United Nations,20,optional,IR Theory & Global Order,Diplomacy & Foreign Policy
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5005 Democracy in the UK: An Introduction to British Politics,20,optional,Comparative & British Politics,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5007 Global Political Economy,20,optional,International Political Economy,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5008 International Security Studies,20,optional,Security & Conflict,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5009MX Refugee Studies,20,optional,Human Rights & Humanitarianism,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR5013MX Politics Beyond Parliaments,20,optional,Comparative & British Politics,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6000 Dissertation in Politics and International Relations,40,core,Research Methods & Dissertation,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6001 Work Based Learning in Politics or International Relations,20,optional,"Skills, Placement & Employability",
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6002 NATO after the Cold War and Beyond,20,optional,Security & Conflict,Diplomacy & Foreign Policy
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6006 The Politics of the United States,20,optional,Regional & Area Studies,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6010 The Politics and International Relations of the Middle East,20,optional,Regional & Area Studies,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,PIR6008MX Voter Behaviour and Effective Election Campaigning,20,optional,Comparative & British Politics,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,ANT6008MX Coastal Cultures,20,optional,Sociology & History,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,"ENG5010MX Writing Creative Nonfiction: Autobiography, Travel Writing, Reportage",20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,ENG6008MX Features Journalism Workshop,20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,ENG6005MX American Crime Writing,20,optional,"Media, Communication & Culture",
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,HIS5014MX Dunkirk to D Day: The Second World War in Europe,20,optional,Sociology & History,Security & Conflict
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,"HIS6002MX Piracy and Privateering, c.1560-1816",20,optional,Sociology & History,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,CRM6011MX Security Management,20,optional,Security & Conflict,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,SOC5005MX Globalisation and Social Justice,20,optional,Sociology & History,International Political Economy
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,"SOC6004MX Health, Medical Power and Social Justice",20,optional,Sociology & History,
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,Year 2,CRM6011MX Security Management,20,optional,Security & Conflict,
Royal Holloway,BA (hons) international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/international-relations/,Year 3,The Politics of Africa,,,Regional & Area Studies,
Royal Holloway,BA (hons) international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/international-relations/,Year 3,American Political Development,,,Regional & Area Studies,
Royal Holloway,BA (hons) international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/international-relations/,Year 3,Defence and Security Governance,,,Security & Conflict,
Royal Holloway,BA (hons) politics,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics/,Year 3,The Politics of Africa,,,Regional & Area Studies,
Royal Holloway,BA (hons) politics,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics/,Year 3,American Political Development,,,Regional & Area Studies,
Royal Holloway,BA (hons) politics,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics/,Year 3,Defence and Security Governance,,,Security & Conflict,
Royal Holloway,BA (hons) politics & international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-international-relations/,Year 3,The Politics of Africa,,,Regional & Area Studies,
Royal Holloway,BA (hons) politics & international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-international-relations/,Year 3,American Political Development,,,Regional & Area Studies,
Royal Holloway,BA (hons) politics & international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-international-relations/,Year 3,Defence and Security Governance,,,Security & Conflict,
Royal Holloway,"BA (hons) politics, international relations",https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-international-relations-and-modern-languages-french/,Year 4,American Political Development,,,Regional & Area Studies,
Royal Holloway,"BA (hons) politics, international relations",https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-international-relations-and-modern-languages-french/,Year 4,Text and Image in France,,,Language & Area Language Modules,"Media, Communication & Culture"
Royal Holloway,"BA (hons) politics, international relations",https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-international-relations-and-modern-languages-french/,Year 4,Blindness and Vision in French Culture,,,"Media, Communication & Culture",
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Law Dissertation,,,Law,Research Methods & Dissertation
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Company Law,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Medical Law,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Advocacy and Court Practice,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Law of Evidence,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,International and Comparative Human Rights Law,,,Law,Human Rights & Humanitarianism
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Public International Law,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Family Law,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Jurisprudence,,,Law,Political Theory & Philosophy
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Intellectual Property Law,,,Law,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,The Politics of Africa,,,Regional & Area Studies,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Defence in the Post-Cold War World,,,Security & Conflict,
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Understanding China's Rise: Domestic Politics and Foreign Policy,,,Regional & Area Studies,Diplomacy & Foreign Policy
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,Year 3,Refugees and Migration in World Politics,,,Human Rights & Humanitarianism,
Royal Holloway,LLB (hons) law with international relations with a year in industry,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations-with-a-year-in-industry/,Year 4,Law Dissertation,,,Law,Research Methods & Dissertation
